index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9508,0.9408,0.8642,0.9521,0.9306,0.8616,0.9649,0.9298,0.8817,0.9659,0.9401,0.8801,0.9379,0.9281,0.8595,0.965,0.9378,0.8989,0.9454,0.9343,0.8492,0.9417,0.9254,0.8672,0.9569,0.9342,0.8887,0.9498,0.9329,0.8622
mae,0.3387,0.4281,0.5131,0.3514,0.4625,0.5092,0.2882,0.4547,0.4734,0.3046,0.4404,0.4826,0.398,0.4868,0.4944,0.2978,0.4325,0.4356,0.3727,0.4537,0.5162,0.3849,0.4598,0.4905,0.3357,0.471,0.4751,0.3619,0.4376,0.5272
rmse,0.4671,0.5469,0.6771,0.4608,0.5925,0.6836,0.3944,0.5956,0.6319,0.3891,0.55,0.6362,0.5248,0.6029,0.6888,0.3941,0.5606,0.5843,0.4923,0.5763,0.7135,0.5086,0.6139,0.6696,0.4373,0.5768,0.613,0.472,0.5825,0.6822
